date,time,platform,pillar,caption,hashtags,cta,image,geo
2026-09-15,10:00,gbp,storm-response,Did a North Texas storm roll through your street lately? A quick roof check now can catch hail bruising before it becomes a leak. We are booking free inspections across Plano this week. Family-run since 2000.,,Contact Us via the site to book your free inspection,../assets/img/home-storm.webp,Plano TX
2026-09-15,12:00,facebook,seasonal,"North Texas neighbors, hail season has a way of sneaking up on us. Even a storm that felt minor can leave dents and lifted shingles you cannot spot from the ground. We have been climbing Plano roofs since 2000, and a free inspection is the easiest way to know where you stand. What part of town saw the worst of the last round?

#Plano #NorthTexas",#Plano #NorthTexas,Contact Us via the site to schedule a free roof check,../assets/img/home-storm.webp,Plano TX
2026-09-16,11:00,instagram,before-after,"From weathered to weather-ready. Swipe to see a Plano roof go from storm-worn to solid. Same house, brand new peace of mind. Family-run since 2000.

#Plano #PlanoTX #PlanoRoofing #RoofReplacement #BeforeAndAfter #NorthTexas #HailDamage #RoofingLife #CurbAppeal #DFW",#Plano #PlanoTX #PlanoRoofing #RoofReplacement #BeforeAndAfter #NorthTexas #HailDamage #RoofingLife #CurbAppeal #DFW,Contact Us via the site for a free inspection,../assets/img/svc-replacement.webp,Plano TX
2026-09-17,09:00,nextdoor,education,"Neighborly tip for anyone unsure whether the last storm did any harm: check your gutters for shingle granules that look like coarse black sand. A lot of them usually means your shingles took a beating up top. Happy to answer questions, we are a family-run Plano roofer and have been at this since 2000.",,Contact Us via the site if you want a free look,../assets/img/home-repair.webp,Plano TX
2026-09-18,10:00,gbp,trust,"Wondering if we cover your neighborhood? We roof Plano, Allen, McKinney, Frisco, Wylie, and Richardson, and have since 2000. Family-run, and a free inspection is always no pressure.",,Contact Us via the site to get started,../assets/img/jackson-truck.jpg,Plano TX
2026-09-18,12:00,instagram,video,"Reel: a slow drone pass over a finished Plano roof, ridge line to gutters. Sound on. There is something about seeing a roof from above that a ground photo never captures, every clean course of shingles, every straight valley. This is the work we have been doing here since 2000. Save this for when your own roof is due.

#Plano #PlanoTX #Roofing #DroneFootage #RoofReplacement #NorthTexas #Reels #Shingles #DFW #CurbAppeal",#Plano #PlanoTX #Roofing #DroneFootage #RoofReplacement #NorthTexas #Reels #Shingles #DFW #CurbAppeal,Contact Us via the site for a free inspection,../assets/img/home-repair.webp,Plano TX
2026-09-19,10:00,facebook,video,"Video: how to spot hail damage in about 30 seconds, filmed right on a North Texas roof. We point the camera at the real thing, bruised shingles where the granules got knocked loose, dented soft metal on the vents, and the marks most homeowners walk right past from the driveway. If your street took a recent storm, watch this before you decide your roof is fine. Family-run and on these roofs since 2000.

#Plano #NorthTexas",#Plano #NorthTexas,Contact Us via the site for a free inspection,../assets/img/svc-replacement.webp,Plano TX
2026-09-19,17:00,instagram,education,"Hail does not always crack a shingle. Sometimes it just knocks the protective granules loose and quietly shortens your roof's life. Knowing the difference is half the job.

#Plano #PlanoTX #Roofing #HailDamage #RoofRepair #NorthTexas #Shingles #HomeMaintenance #DFW #RoofCare",#Plano #PlanoTX #Roofing #HailDamage #RoofRepair #NorthTexas #Shingles #HomeMaintenance #DFW #RoofCare,Contact Us via the site for a free inspection,../assets/img/home-inspection.webp,Plano TX
2026-09-20,18:00,facebook,trust,"Some roofing companies rotate through crews and phone numbers every year. We are not one of them. Jackson Roofing is family-run, owned by Chris Jackson, and has been putting good roofs over Plano families since 2000. When you reach out, you are talking to the same people who will still be here next season. Who did your last roof, and would you call them again?

#Plano #FamilyOwned",#Plano #FamilyOwned,Contact Us via the site anytime,../assets/img/home-truck.jpg,Plano TX
2026-09-21,10:00,nextdoor,community,"Happy Sunday, Plano. If a neighbor mentions their ceiling is showing a water stain after the recent weather, point them our way. We are a family-run local roofer and always glad to take a free look before a small spot becomes a big repair.",,Contact Us via the site for a free inspection,../assets/img/g-vanalstyne.jpg,Plano TX
2026-09-22,10:00,gbp,storm-response,"Frisco and McKinney, that summer storm may have left more behind than you can see from the driveway. We have free inspection slots open this week and will show you photos of anything we find. Family-run since 2000.",,Contact Us via the site to grab a slot,../assets/img/svc-replacement.webp,Plano TX
2026-09-23,11:00,instagram,video,"Reel, before and after in under 20 seconds, no face needed. Same Plano house, storm-worn roof to fresh and solid. A new roof does more for curb appeal than almost anything else you can do. Which side would you rather pull up to? Family-run since 2000.

#Plano #BeforeAndAfter #RoofReplacement #CurbAppeal #NorthTexas #PlanoTX #Roofing #DFW #Reels #RoofingLife",#Plano #BeforeAndAfter #RoofReplacement #CurbAppeal #NorthTexas #PlanoTX #Roofing #DFW #Reels #RoofingLife,Contact Us via the site for a free inspection,../assets/img/g-vanalstyne.jpg,Plano TX
2026-09-24,12:00,facebook,community,"Quick one for our North Texas neighbors: how old is your roof? A lot of folks honestly are not sure, and that is completely normal. If it has been on the house longer than you have owned it, a free inspection is a smart way to plan ahead before hail season peaks. Drop a guess below.

#Plano #NorthTexas",#Plano #NorthTexas,Contact Us via the site to book a free check,../assets/img/house-brick.jpg,Plano TX
